,B cell (Plasmocyte),Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Fetal endocrine cell,Macrophage,Pancreas exocrine cell,Stromal cell
ANAPC16,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS24,1.5397353,3.0171611,2.927884,3.4903219,3.3596034,2.5854163,3.148305,3.2282352,3.3125494
RPL14,2.9302673,3.1047578,0.0,2.8272102,3.121493,0.0,1.9056978,2.85147,2.866975
C1S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5742302
PODXL,0.0,0.0,1.4128578,0.0,0.0,0.0,0.0,0.0,0.0
RPL35,1.3172597,3.139946,2.920131,2.6381292,3.0053785,0.0,2.7581758,2.8638523,2.8545496
ACKR1,0.0,0.0,1.5072732,0.0,0.0,0.0,0.0,0.0,0.0
RPL27A,3.7836356,3.342554,3.3139,3.5027342,3.5771804,2.8272417,3.3771966,3.4229238,3.5557365
CTSB,0.0,0.0,0.0,0.0,0.0,0.0,3.2911303,0.0,2.6131697
HSP90AB1,0.0,1.2961677,2.7581856,0.0,0.0,0.0,0.0,0.0,0.0
TPD52,2.4940798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL39,0.0,2.8525672,2.6272116,2.8332133,2.6055899,0.0,2.3215222,2.2058036,2.6190474
COL6A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.193677
RPS25,2.5979676,3.0824041,2.776636,2.8453426,3.2515097,2.7410777,2.8257155,3.083438,3.4926367
TMSB4X,1.3172597,4.308055,4.58815,2.8332133,2.9634924,0.0,5.276127,0.0,3.2701943
SELENOS,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSC,0.0,0.0,0.0,3.2592993,0.0,0.0,0.0,0.0,2.4739776
P4HB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8411269,0.0
PRDX5,2.3580756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHI3L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5742302
ACTA2,0.0,0.0,0.0,2.8392575,0.0,0.0,0.0,0.0,0.0
SERPINF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8939679
FKBP1A,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,2.2173874
PSMA1,2.4940798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
