,Cardiomyocyte,Endothelial,Fibroblast,Lymphoid,Myeloid,Neuronal,Pericyte,Smooth Muscle
ENSG00000026508,0.0,0.0,0.0,1.6677352,1.5583682,0.0,0.0,0.0
ENSG00000143119,0.0,0.0,0.0,1.3577034,0.0,0.0,0.0,0.0
ENSG00000085063,0.0,1.688875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000010278,0.0,0.0,0.0,0.0,0.0,0.99618894,0.0,0.0
ENSG00000153283,0.0,0.0,0.0,1.8369005,0.0,0.0,0.0,0.0
ENSG00000079335,0.0,0.0,0.0,1.1900637,0.0,0.0,0.0,0.0
ENSG00000081377,1.5898882,0.0,0.0,0.0,0.0,0.0,0.0,1.368087
ENSG00000004897,0.0,0.0,0.77108705,0.0,0.0,0.0,0.809579,0.0
ENSG00000143776,1.5587124,2.3162618,1.432712,0.0,0.0,1.2065456,2.450703,1.6378736
ENSG00000158985,0.0,0.0,0.0,2.5879664,1.081445,0.0,0.0,0.0
ENSG00000134371,0.71742654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000140945,2.4821458,2.205564,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000071991,0.0,0.0,2.5090775,0.0,0.0,4.0961742,0.0,0.0
ENSG00000170558,2.7872896,0.0,0.0,0.0,0.0,0.7129702,0.0,0.0
ENSG00000065883,0.8319043,0.0,1.1820843,1.5165746,1.0093027,0.0,0.9895582,0.73810107
ENSG00000058091,1.4369159,0.0,2.0436363,0.0,0.0,0.0,1.4721332,0.0
ENSG00000059758,0.0,2.2345228,0.0,1.4626384,0.0,0.0,0.0,0.93974984
