,cell_type,silhouette_score
cell32520,colon epithelial cell,0.5346872151950672
cell32521,colon epithelial cell,0.6858904254407323
cell32522,colon epithelial cell,0.7467264460708194
cell32523,colon epithelial cell,0.7077403393769206
cell32524,colon epithelial cell,0.6037515242960991
cell32525,colon epithelial cell,0.639021019286862
cell32526,colon epithelial cell,0.6442855347230485
cell32527,colon epithelial cell,0.695396785867836
cell32528,colon epithelial cell,0.6278343436515901
cell32529,colon epithelial cell,-0.05924159079006503
cell32530,colon epithelial cell,0.6765790417670907
cell32531,colon epithelial cell,0.6990385791339443
cell32532,colon epithelial cell,0.5195202723645146
cell32533,colon epithelial cell,0.6669090239403817
cell32534,colon epithelial cell,0.6869676736252246
cell32535,colon epithelial cell,0.705523105015907
cell32536,colon epithelial cell,0.6989726502202823
cell32537,colon epithelial cell,0.5052574406629523
cell32538,colon epithelial cell,0.5260038271345308
cell32539,colon epithelial cell,0.6603026136737753
cell32540,colon epithelial cell,0.7484421132032091
cell32541,colon epithelial cell,0.6762645448979845
cell32542,colon epithelial cell,0.7187238542767342
cell32543,colon epithelial cell,0.7019009844080576
cell32544,colon epithelial cell,-0.04191147361793528
cell32545,colon epithelial cell,0.7221581238150746
cell32546,colon epithelial cell,0.6811406795109182
cell32547,colon epithelial cell,0.7308264160064724
cell32548,colon epithelial cell,0.49210309418184606
cell32549,colon epithelial cell,0.48398188299343425
cell32550,colon epithelial cell,0.5407951670678414
cell32551,colon epithelial cell,0.5010558846039362
cell32552,colon epithelial cell,0.5197689559279196
cell32553,colon epithelial cell,0.6806406682364601
cell32554,colon epithelial cell,0.5977264843781053
cell32555,colon epithelial cell,0.6830249551315366
cell32556,colon epithelial cell,0.6062580879083675
cell32557,colon epithelial cell,0.6818681623120904
cell32558,colon epithelial cell,0.6842587772308606
cell32559,colon epithelial cell,0.6695733445746048
cell32560,colon epithelial cell,0.4877384568567633
cell32561,colon epithelial cell,0.5992524354753836
cell32562,colon epithelial cell,0.4822546363128794
cell32563,colon epithelial cell,-0.14366318256547683
cell32564,colon epithelial cell,0.6644554207096717
cell32565,colon epithelial cell,0.593612413777922
cell32566,colon epithelial cell,0.6136457420412808
cell32567,colon epithelial cell,0.6956178286041235
cell32568,colon epithelial cell,0.6459708167219597
cell32569,colon epithelial cell,0.7000857938399266
cell32570,colon epithelial cell,0.7062343796129993
cell32571,colon epithelial cell,0.6449794428263682
cell32572,colon epithelial cell,0.7152402552411687
cell32573,colon epithelial cell,0.5219250567357492
cell32574,colon epithelial cell,0.5341146712327675
cell32575,colon epithelial cell,0.5207273716895591
cell32576,colon epithelial cell,0.7150699012405141
cell32577,colon epithelial cell,-0.031128510498307962
cell32578,colon epithelial cell,0.7380436331271365
cell32579,colon epithelial cell,0.6224284485971799
cell32580,colon epithelial cell,0.739338765786903
cell32581,colon epithelial cell,0.5946395078680283
cell32582,colon epithelial cell,0.6116669344040072
cell32583,colon epithelial cell,0.5065004218934084
cell32584,colon epithelial cell,0.5483567769616006
cell32585,colon epithelial cell,0.46680911487464744
cell32586,colon epithelial cell,0.5885185331217951
cell32587,colon epithelial cell,0.727689575840075
cell32588,colon epithelial cell,0.6087934123579862
cell32589,colon epithelial cell,0.739669717474181
cell32590,colon epithelial cell,0.5961658383735783
cell32591,colon epithelial cell,0.6629815520236464
cell32592,colon epithelial cell,0.7261279000086306
cell32593,colon epithelial cell,0.5404741478918654
cell32594,colon epithelial cell,0.6710890902956935
cell32595,colon epithelial cell,0.5952859949532459
cell32596,colon epithelial cell,0.6475382278295546
cell32597,colon epithelial cell,0.6662988808341564
cell32598,colon epithelial cell,0.6580060736465185
cell32599,colon epithelial cell,0.6997804307920258
cell32600,colon epithelial cell,0.7475493384833568
cell32601,colon epithelial cell,0.5526550104623679
cell32602,colon epithelial cell,0.4305258371747706
cell32603,colon epithelial cell,0.6822489880094846
cell32604,colon epithelial cell,0.6512083592491063
cell32605,colon epithelial cell,0.543357073828681
cell32606,colon epithelial cell,0.4305019818629888
cell32607,colon epithelial cell,0.47720219291710136
cell32608,colon epithelial cell,-0.07769563178738341
cell32609,colon epithelial cell,0.7105405426377889
cell32610,colon epithelial cell,0.6760943383955038
cell32611,colon epithelial cell,0.468353802973561
cell32612,colon epithelial cell,0.6229477745347024
cell32613,colon epithelial cell,0.5272875775739763
cell32614,colon epithelial cell,0.6874837318466168
cell32615,colon epithelial cell,0.7332352675896947
cell32616,colon epithelial cell,0.4900764858706717
cell32617,colon epithelial cell,0.7290344505886245
cell32618,colon epithelial cell,0.676385343653156
cell32619,colon epithelial cell,-0.02350808686983184
cell32620,colon epithelial cell,-0.032328216718776184
cell32621,colon epithelial cell,0.7404004360072268
cell32622,colon epithelial cell,0.5584659924430653
cell32623,colon epithelial cell,0.7151036641819648
cell32624,colon epithelial cell,0.7478914507827125
cell32625,colon epithelial cell,0.4551948163889804
cell32626,colon epithelial cell,0.5156787508379321
cell32627,colon epithelial cell,0.4861716724360443
cell32628,colon epithelial cell,0.7034276240198324
cell32629,colon epithelial cell,0.5654263155685018
cell32630,colon epithelial cell,0.6332812776684311
cell32631,colon epithelial cell,0.7153110928964521
cell32632,colon epithelial cell,0.7470699590731892
cell32633,colon epithelial cell,0.6718832312362324
cell32634,colon epithelial cell,0.6316831884418873
cell32635,colon epithelial cell,0.6012394325869244
cell32636,colon epithelial cell,0.5173612643571546
cell32637,colon epithelial cell,0.44794687935849364
cell32638,colon epithelial cell,0.7234839704231888
cell32639,colon epithelial cell,0.6400539527607615
cell32640,colon epithelial cell,0.502373585799748
cell32641,colon epithelial cell,0.7119610220852424
cell32642,colon epithelial cell,0.5391534740822299
cell32643,colon epithelial cell,0.6523732210240935
cell32644,colon epithelial cell,0.7383158386984434
cell32645,colon epithelial cell,0.6088791011813423
cell32646,colon epithelial cell,0.515987135807581
cell32647,colon epithelial cell,0.4609832228041691
cell32648,colon epithelial cell,0.47375850957527926
cell32649,colon epithelial cell,0.6247695203015121
cell32650,colon epithelial cell,0.6318423058050755
cell32651,colon epithelial cell,0.6093578273753792
cell32652,colon epithelial cell,0.7014060368416015
cell32653,colon epithelial cell,0.710262419831092
cell32654,colon epithelial cell,0.6838255770141806
cell32655,colon epithelial cell,-0.05603673109922311
cell32656,colon epithelial cell,0.7105195796725003
cell32657,colon epithelial cell,0.5125754671040128
cell32658,colon epithelial cell,0.6922893974226269
cell32659,colon epithelial cell,0.6394475273833213
cell32660,colon epithelial cell,0.540843864305319
cell32661,colon epithelial cell,0.49237945656281573
cell32662,colon epithelial cell,0.4958671135820199
cell32663,colon epithelial cell,0.7287534751438258
cell32664,colon epithelial cell,0.5951916874335089
cell32665,colon epithelial cell,0.5774932192035872
cell32666,colon epithelial cell,0.6333926330572646
cell32667,colon epithelial cell,0.5587950951420732
cell32668,colon epithelial cell,0.7169917030838548
cell32669,colon epithelial cell,0.7457365380348742
cell32670,colon epithelial cell,0.745628240724719
cell32671,colon epithelial cell,0.6757723783866428
cell32672,colon epithelial cell,0.6857693496101094
cell32673,colon epithelial cell,0.6977668973400674
cell32674,colon epithelial cell,0.6247012843050733
cell32675,colon epithelial cell,0.6648576987682305
cell32676,colon epithelial cell,0.4721676293147635
cell32677,colon epithelial cell,-0.12839931410481822
cell32678,colon epithelial cell,-0.12464721274748389
cell32679,colon epithelial cell,-0.03841050113251453
cell32680,colon epithelial cell,0.6825721627766453
cell32681,colon epithelial cell,0.7155099866290299
cell32682,colon epithelial cell,0.4255803934621326
cell32683,colon epithelial cell,0.604302457427426
cell32684,colon epithelial cell,0.727969578245346
cell32685,colon epithelial cell,0.7309973871919112
cell32686,colon epithelial cell,0.6124892069000986
cell32687,colon epithelial cell,0.6576628450636595
cell32688,colon epithelial cell,0.6668392893002025
cell32689,colon epithelial cell,0.6117349960516704
cell32690,colon epithelial cell,0.7072838463089177
cell32691,colon epithelial cell,0.6338623170720894
cell32692,colon epithelial cell,0.6788096905112655
cell32693,colon epithelial cell,-0.10366873173565803
cell32694,colon epithelial cell,0.5014535531808436
cell32695,colon epithelial cell,0.707844046239972
cell32696,colon epithelial cell,0.6639447074143189
cell32697,colon epithelial cell,0.6538319314876228
cell32698,colon epithelial cell,0.6354075279355555
cell32699,colon epithelial cell,0.727879559675495
cell32700,colon epithelial cell,0.6989462152550076
cell32701,colon epithelial cell,0.7162383039521942
cell32702,colon epithelial cell,0.6729449159052083
cell32703,colon epithelial cell,-0.11106615737924869
cell32704,colon epithelial cell,0.44616989264830226
cell32705,colon epithelial cell,0.6770453070697424
cell32706,colon epithelial cell,0.4751468648071603
cell32707,colon epithelial cell,-0.0683906949952684
cell32708,colon epithelial cell,-0.16030717872418782
cell32709,colon epithelial cell,0.6518793965043564
cell32710,colon epithelial cell,0.7493940849370824
cell32711,colon epithelial cell,0.41303822544111535
cell32712,colon epithelial cell,-0.08588229716201591
cell32713,colon epithelial cell,0.6930369171640596
cell32714,colon epithelial cell,0.4267562393569171
cell32715,colon epithelial cell,0.5313289786683791
cell32716,colon epithelial cell,0.510686788908114
cell32717,colon epithelial cell,0.6427276176398836
cell32718,colon epithelial cell,0.6568418242667183
cell32719,colon epithelial cell,0.7126379764156048
cell32720,colon epithelial cell,0.5933905801886724
cell32721,colon epithelial cell,-0.1361544982768408
cell32722,colon epithelial cell,0.6781268677015679
cell32723,colon epithelial cell,0.7306625404677315
cell32724,colon epithelial cell,0.5048672860126816
cell32725,colon epithelial cell,0.7339721963795335
cell32726,colon epithelial cell,0.6299825216210344
cell32727,colon epithelial cell,0.6673166451622853
cell32728,colon epithelial cell,0.5963852071995033
cell32729,colon epithelial cell,0.748308522578333
cell32730,colon epithelial cell,-0.1102846654528478
cell32731,colon epithelial cell,0.6132936203701208
cell32732,colon epithelial cell,0.6514804849103979
cell32733,colon epithelial cell,0.5713841386879602
cell32734,colon epithelial cell,0.6276510039524026
cell32735,colon epithelial cell,0.6427348407771435
cell32736,colon epithelial cell,0.6233553456521156
cell32737,colon epithelial cell,0.4805679620035194
cell32738,colon epithelial cell,-0.14206335613014745
cell32739,colon epithelial cell,0.49528139052055425
cell32740,colon epithelial cell,0.4975590880348337
cell32741,colon epithelial cell,0.48857230492192394
cell32742,colon epithelial cell,0.7089466874281376
cell32743,colon epithelial cell,0.6981596553595061
cell32744,colon epithelial cell,0.7430147815727607
cell32745,colon epithelial cell,0.42357756596195456
cell32746,colon epithelial cell,0.6773832047598094
cell32747,colon epithelial cell,0.6624046795337508
cell32748,colon epithelial cell,0.7253641266907406
cell32749,colon epithelial cell,0.6896079429557316
cell32750,colon epithelial cell,0.5181220831287161
cell32751,colon epithelial cell,0.560659706325035
cell32752,colon epithelial cell,-0.13994003204435834
cell32753,colon epithelial cell,0.6896833453374569
cell32754,colon epithelial cell,0.6821036575816891
cell32755,colon epithelial cell,0.5041786288752264
cell32756,colon epithelial cell,0.5193358170327631
cell32757,colon epithelial cell,0.7020971477586612
cell32758,colon epithelial cell,0.4806898936691853
cell32759,colon epithelial cell,0.43388037423442766
cell32760,colon epithelial cell,0.7000148580490342
cell32761,colon epithelial cell,0.7089041913612684
cell32762,colon epithelial cell,0.5149282126549272
cell32763,colon epithelial cell,0.5258291021733342
cell32764,colon epithelial cell,0.5145527607670259
cell32765,colon epithelial cell,0.6359861294786813
cell32766,colon epithelial cell,0.6031922711427236
cell32767,colon epithelial cell,0.7391511767378804
cell32768,colon epithelial cell,0.5392552727669672
cell32769,colon epithelial cell,0.7361284929699768
cell32770,colon epithelial cell,0.5446847814223073
cell32771,colon epithelial cell,0.7246235547509863
cell32772,colon epithelial cell,0.6831373286350495
cell32773,colon epithelial cell,0.6052749099562618
cell32774,colon epithelial cell,0.6620559897827881
cell32775,colon epithelial cell,0.7463866707750845
cell32776,colon epithelial cell,0.4337747569565901
cell32777,colon epithelial cell,0.47403404841461594
cell32778,colon epithelial cell,0.6312263809898402
cell32779,colon epithelial cell,0.7402053825545812
cell32780,colon epithelial cell,0.7437799066195772
cell32781,colon epithelial cell,0.651808454746346
cell32782,colon epithelial cell,0.6737149422625134
cell32783,colon epithelial cell,0.6504946968523952
cell32784,colon epithelial cell,0.6804112288706513
cell32785,colon epithelial cell,0.725903377038236
cell32786,colon epithelial cell,0.6011287790343814
cell32787,colon epithelial cell,0.608132019004681
cell32788,colon epithelial cell,0.4762193141893928
cell32789,colon epithelial cell,0.7042954565082991
cell32790,colon epithelial cell,-0.10809936873043456
cell32791,colon epithelial cell,0.528390413886486
cell32792,colon epithelial cell,0.4224754959227645
