,AT1/AT2-like,AT2/Club-like,B cell,T cell,alveolar macrophage,basal cell,blood vessel endothelial cell,chondrocyte,ciliated cell,club cell,dendritic cell,endothelial cell,endothelial cell of artery,enucleate erythrocyte,fibroblast,goblet cell,lymphatics,macrophage,mast cell,monocyte,myofibroblast cell,natural killer cell,pericyte cell,smooth muscle cell,type I pneumocyte,type II pneumocyte,unknown,vascular associated smooth muscle cell,vein endothelial cell
TMPRSS2,0.0,0.9505887372153146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.9377395468098777,0.0,0.0,0.0
CEP112,0.0,0.0,0.0,0.0,0.0,0.0,0.9187143572739193,0.0,0.8836817634957177,0.0,0.0,0.0,0.8749685521636691,0.0,0.0,0.0,0.8823201273168836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0
PCDH7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9824095921857017,0.0,0.0,0.0,0.0,0.0
OPHN1,0.0,0.8970298703227725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9173386820725032,0.0,0.0,0.0,0.0,0.0,0.9314182890313012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0
FRMD4A,0.0,0.0,0.0,0.0,0.9354026402745929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.9329246772187096,0.0,0.0,0.0,0.0,0.0,0.0
ABL1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZDHHC17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000249669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.9336030376808984,0.0,0.0,0.0,0.9382630246026176,0.0
ARIH1,0.0,0.7903199877057757,0.0,0.0,0.7564974767821175,0.7518536491053445,0.0,0.0,0.7333712790693555,0.7733067997864315,0.0,0.0,0.0,0.0,0.0,0.7699968687125615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7367981033665794,0.7355960139206478,0.0,0.0,0.7142857142857143
DENND4A,0.0,0.8571428571428571,0.8872595748731068,0.0,0.8671251599277768,0.0,0.0,0.0,0.0,0.0,0.8738140336104802,0.0,0.0,0.0,0.0,0.0,0.8819512810025897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEP85L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZANK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
