index,free_annotation,silhouette_score
N2_B002385.gencode.vH29,Ciliated,-0.27101147
N3_B002014.gencode.vH29,Ciliated,-0.24936678
N3_B003140.gencode.vH29,Ciliated,-0.36304936
N5_B003135.gencode.vH29,Ciliated,-0.42311597
N7_B002386.gencode.vH29,Ciliated,-0.32635966
N7_B003137.gencode.vH29,Ciliated,-0.45557296
N7_B003141.gencode.vH29,Ciliated,-0.4386113
N8_B002386.gencode.vH29,Ciliated,-0.40620315
N9_B003137.gencode.vH29,Ciliated,-0.39138854
O1_B003137.gencode.vH29,Ciliated,-0.40070808
O11_B003137.gencode.vH29,Ciliated,-0.25625828
O11_B003142.gencode.vH29,Ciliated,-0.37651545
