,PP,alpha_MHC II,alpha_immature,alpha_mature,alpha_stress II,beta_MHC/autoantigen,beta_immature,beta_mature,beta_mtDNA deficient,beta_stress I,beta_stress II,delta
NBL1,0.9237025271762501,0.0,0.8181818181818182,0.8286302360621366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMK2N1,0.7105031067674811,0.0,0.5454545454545454,0.6262987581166354,0.0,0.0,0.5785559795119546,0.6441350850191984,0.0,0.0,0.0,0.6284550753506747
DDOST,0.17249236865477127,0.5666716640645807,0.15301132202148438,0.19149742343209006,0.13679129427129572,0.5587822740728204,0.12308205257762563,0.14587173678658225,0.0,0.09090909090909091,0.19793302362615411,0.2511238022284074
HP1BP3,0.6363636363636364,0.0,0.0,0.638215883211656,0.0,0.0,0.6812028668143533,0.673489819873463,0.0,0.0,0.0,0.651425762610002
CDC42,0.1276015801863237,0.0,0.27015105160799896,0.21478714726187967,0.258114137432792,0.09090909090909091,0.1816370649771257,0.11222987825220282,0.14096249775453049,0.11714174530722878,0.11963212490081787,0.13235483928160233
WNT4,0.7704531658779491,0.0,0.0,0.7355251799930226,0.0,0.7272727272727273,0.0,0.8004001162268899,0.0,0.0,0.0,0.0
HNRNPR,0.38608396595174616,0.0,0.45656019991094415,0.4002054658803073,0.3999571746045893,0.0,0.3642848188226873,0.36363636363636365,0.0,0.0,0.40819712660529395,0.40237869999625464
ID3,0.9318303357471119,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0
RPL11,0.0423423864624717,0.0,0.043718527663837776,0.05461618033322421,0.02668442509391091,0.011433097449215975,0.06133590503172441,0.07302102717486295,0.15872382575815375,0.19888451424511996,0.09748565608804877,0.046101813966577705
PITHD1,0.0,0.0,0.2857302047989585,0.2727272727272727,0.350447340445085,0.0,0.4663316607475281,0.31098039041865955,0.36112301458011975,0.578285965052518,0.5453651655804027,0.28105231848630036
LYPLA2,0.0,0.0,0.7857811559330333,0.7526846094564958,0.7403703494505449,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0
HMGCL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUCA1,0.0,0.0,0.0,0.0,0.0,0.9238543781367216,0.0,0.8181818181818182,0.0,0.0,0.0,0.8563831394368951
RCAN3,0.7091909646987915,0.0,0.0,0.6364389170299877,0.0,0.0,0.6363636363636364,0.68843674659729,0.0,0.0,0.0,0.692371048710563
SRRM1,0.38204839012839575,0.0,0.37528680671345105,0.3767879551107233,0.419875903563066,0.0,0.36363636363636365,0.36483223871751264,0.0,0.0,0.3965253233909607,0.3807581934061917
