,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells,Stressed beta cells
BICC1,0.0,0.0,0.0,0.0,0.0,3.2973788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLOC1S1,0.0,0.0,0.9436592,0.5823232,0.76293343,0.0,0.0,0.4007301,0.0,0.0,0.0,0.0,0.0,0.0
BLOC1S2,0.0,0.0,0.53578705,0.42815942,0.4607252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51329106
BLOC1S6,0.0,0.0,0.26553065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLVRB,0.0,0.0,0.5963899,0.0,0.43594867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMP5,0.0,0.0,0.0,0.35325414,0.36177748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMPR2,0.0,0.0,0.0,0.0,0.0,0.0,0.079922184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIP3,0.0,0.0,0.52701366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIP3L,0.0,0.0,0.42455155,0.48381913,0.34285516,0.0,0.0,0.50856966,0.0,0.0,0.0,0.0,0.0,0.42776892
BOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39479098
BOLA3,0.0,0.0,0.7174533,0.43729722,0.5784484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORCS7,0.0,0.0,0.0,0.24416608,0.3115039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25552383
BRD7,0.0,0.0,0.0,0.2578826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRI3,0.0,0.0,0.69352233,0.6417414,0.71212316,0.0,0.0,0.39616802,0.0,0.0,0.0,0.0,0.0,0.5232609
BRK1,0.0,0.0,1.6427655,1.243437,1.5003841,0.0,0.0,1.2368622,0.0,0.0,0.0,0.0,0.0,1.0307264
BRMS1,0.0,0.0,0.44005436,0.24100249,0.38918492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32700062
BSG,0.0,0.0,1.5761333,0.97930837,1.3903445,0.0,0.0,0.8426396,0.0,0.0,0.0,0.0,0.0,0.96981823
BTF3,0.0,0.0,1.7768276,1.5279889,1.6391388,0.0,0.0,0.9784194,0.0,0.0,0.0,0.0,0.0,1.795993
BTF3L4,0.0,0.0,0.5750289,0.47502264,0.48784506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3956455
BTG1,0.0,0.0,1.2090095,0.8361523,0.8283446,0.0,0.0,0.5808068,0.0,0.0,0.0,0.0,0.0,1.433964
BTG2,0.0,0.0,0.68385357,0.33467254,0.8770014,0.0,0.0,1.382159,0.0,0.0,0.0,0.0,0.0,0.0
BTG3,0.0,0.0,0.0,0.81363654,0.72029877,0.0,0.0,0.5622771,0.0,0.0,0.0,0.0,0.0,0.8903606
